Actual,Forecast
1241.0,9739.781
1299.0,9915.041
11145.0,9971.827
7206.0,19570.643
11070.0,15740.182
10372.0,19497.83
4887.0,18819.947
4062.0,13479.071
4006.0,12673.582
3419.0,12618.886
1600.0,12045.399
1473.0,10266.464
12422.0,10142.15
15901.0,20809.69
46669.0,24178.412
18381.0,53533.863
19882.0,26573.678
22172.0,28020.914
23653.0,30225.27
30577.0,31648.568
420940.0,38278.64
292771.0,348495.03
233125.0,260236.83
1384.0,214689.14
79269.0,10055.031
78919.0,83780.3
52088.0,83460.234
17004.0,58622.71
1208.0,25244.357
7330.0,9882.736
193567.0,15860.964
78573.0,182887.5
243224.0,83143.75
688464.0,222603.62
694316.0,492348.9
1154974.0,494916.72
2261094.0,628744.94
3665788.0,580268.25
626.0,301939.44
14781.0,9312.785
9261.0,23095.006
7559.0,17740.164
6435.0,16083.982
6342.0,14988.925
6026.0,14898.2705
69345.0,14590.199
180821.0,74666.05
216178.0,172368.2
632424.0,201221.34
1105675.0,466543.0
2199420.0,620311.2
3543797.0,590715.3
385.0,324603.94
996.0,9076.69
1055.0,9675.158
1174.0,9732.926
1499.0,9849.45
2789.0,10167.601
2915.0,11429.586
15050.0,11552.773
18591.0,23355.318
677096.0,26776.266
20867.0,487292.53
469431.0,28969.6
19538.0,378536.16
232479.0,27689.387
88949.0,214180.0
71616.0,92591.88
47155.0,76758.95
330165.0,53991.246
34848.0,287331.8
24376.0,42348.508
24103.0,32342.732
22751.0,32080.676
3100.0,30781.922
40317.0,11733.618
3699.0,47537.84
40019.0,12318.993
34695.0,47255.72
19556.0,42202.977
18368.0,27706.738
7289.0,26561.13
9447.0,15821.028
9529.0,17921.006
11438.0,18000.727
13167.0,19855.053
168820.0,21531.914
68934.0,162341.95
169830.0,74286.836
294710.0,163190.31
314879.0,261669.33
378306.0,276391.03
464743.0,320575.8
781331.0,375710.7
919763.0,530337.94
1955083.0,576473.06
2383839.0,626355.1
16853.0,558162.2
3756097.0,25098.492
7281.0,285702.03
4661.0,15813.236
40124.0,13258.462
4168.0,47355.125
3786.0,12777.11
3702.0,12403.988
1693.0,12321.928
1428.0,10357.478
1311.0,10098.111
160993.0,9983.57
147244.0,155739.16
141763.0,144018.56
98197.0,139302.81
85963.0,100937.72
83314.0,89882.03
74326.0,87471.875
71760.0,79250.836
3831.0,76891.51
19489.0,12447.944
527.0,27642.158
19861.0,9215.805
19673.0,28000.66
447793.0,27819.504
299158.0,365354.6
105203.0,264944.0
81890.0,107213.16
235941.0,86173.83
47604.0,216904.34
30004.0,54413.645
27941.0,37731.47
22849.0,35759.234
57375.0,30876.115
1071.0,63564.125
30183.0,9748.599
19075.0,37902.434
20643.0,27243.053
23835.0,28753.922
27211.0,31823.352
228545.0,35060.496
57585.0,211072.45
92619.0,63759.914
100042.0,95912.336
18214.0,102594.26
282539.0,26412.543
412205.0,252627.48
48763.0,342890.3
16300.0,55503.176
4660.0,24564.127
10811.0,13257.489
10058.0,19246.344
9390.0,18514.88
7707.0,17865.59
7361.0,16228.094
4520.0,15891.166
3860.0,13120.819
3701.0,12476.276
1513.0,12320.946
1482.0,10181.307
1333.0,10150.964
29474.0,10005.108
986.0,37225.117
578.0,9665.364
12278.0,9265.771
3682.0,20670.027
17844.0,12302.378
356986.0,26055.457
3320725.0,306079.44
2068096.0,367982.03
1676560.0,611145.5
792673.0,651522.8
745754.0,534580.75
443097.0,516474.53
281102.0,362446.38
262596.0,251552.1
158252.0,237553.73
148772.0,153414.95
149348.0,145328.86
125591.0,145822.22
93094.0,125244.33
79617.0,96341.27
73121.0,84098.43
67688.0,78143.57
62801.0,73136.305
60637.0,68611.36
40071.0,66601.34
33654.0,47304.965
16621.0,41212.266
127288.0,24874.332
36744.0,126729.67
23095.0,44150.36
29707.0,31112.521
31045.0,37447.75
43481.0,38725.332
4721.0,50528.707
60996.0,13317.044
91699.0,66935.06
105943.0,95080.99
254235.0,107873.64
22455.0,231138.56
44826.0,30497.377
21724.0,51797.59
2913.0,29794.357
17745.0,11550.811
10658.0,25959.887
9977.0,19097.764
7492.0,18436.168
7110.0,16018.738
487.0,15646.666
1065.0,9176.618
1231.0,9742.725
1381.0,9905.247
1524.0,10052.092
400451.0,10192.073
3172.0,335254.88
20266.0,11804.001
578083.0,28390.844
400775.0,439378.34
133742.0,335466.78
14214.0,132357.05
15515.0,22546.14
23066.0,23805.145
28492.0,31084.652
35176.0,36286.332
46243.0,42660.438
55520.0,53132.777
58905.0,61833.01
64633.0,64989.79
75308.0,70309.945
90967.0,80152.29
99120.0,94419.04
115360.0,101766.78
125802.0,116238.96
5967.0,125429.14
2101273.0,14532.664
239667.0,606240.9
249598.0,219825.5
3627.0,227556.27
440414.0,12248.649
712806.0,360777.2
736291.0,502874.5
1665241.0,512643.97
158297.0,652100.9
3440102.0,153453.16
18540.0,344480.62
17271.0,26727.07
23578.0,25502.225
25257.0,31576.525
42747.0,33188.008
17172.0,49835.6
21800.0,25406.621
2822.0,29867.473
13483.0,11461.847
9171.0,21838.123
8469.0,17652.643
6462.0,16969.783
6379.0,15015.237
4553.0,14934.342
4183.0,13153.037
490.0,12791.75
988.0,9179.553
1049.0,9667.326
1117.0,9727.047
1216.0,9793.637
56080.0,9890.563
3053.0,62355.906
14053.0,11687.683
76645.0,22390.246
15820.0,81378.35
217902.0,24100.092
237507.0,202602.11
151763.0,218133.42
135399.0,147888.03
132768.0,133796.23
111786.0,131510.0
104451.0,113072.7
88584.0,106541.5
72576.0,92261.01
253296.0,77642.36
63090.0,230414.52
97503.0,68879.484
54853.0,100313.89
51486.0,61209.863
35822.0,58058.58
27677.0,43274.52
25226.0,35506.598
16504.0,33158.28
13498.0,24761.28
61592.0,21852.652
341666.0,67488.87
3145.0,295440.88
435056.0,11777.609
708302.0,357427.12
729814.0,500957.75
1512154.0,509987.25
1949385.0,655833.0
3131811.0,627055.56
472128.0,406267.2
332458.0,380153.97
1171.0,288956.97
298425.0,9846.516
273730.0,264405.47
234870.0,246008.88
18877.0,216062.6
23787.0,27052.105
37111.0,31777.262
32742.0,44498.797
425393.0,40343.582
37397.0,351329.4
51787.0,44770.26
57948.0,58340.68
93492.0,64098.285
202931.0,96700.55
341611.0,190530.88
26619.0,295402.38
680125.0,34493.527
14950.0,488648.56
15859.0,23258.557
964.0,24137.797
899.0,9643.817
431.0,9580.167
1499693.0,9121.76
708522.0,655778.8
504390.0,501051.75
2531.0,399078.38
17841.0,11177.294
2705.0,26052.566
3749.0,11347.451
4698.0,12367.842
5225.0,13294.586
7223.0,13808.907
8453.0,15756.748
9661.0,16954.217
12556.0,18129.043
3224.0,20939.627
1180.0,11854.83
3302399.0,9855.329
26418.0,371642.47
170513.0,34300.96
162386.0,163763.5
120072.0,156917.97
113906.0,120397.23
109222.0,114952.12
106487.0,110794.734
80925.0,108358.87
69917.0,85293.234
59968.0,75193.58
51978.0,65979.17
36776.0,58519.65
25944.0,44180.75
2097116.0,33846.715
17294.0,606865.44
12773.0,25524.447
52446.0,21150.014
4714.0,58958.03
3074.0,13310.206
2655.0,11708.213
5112.0,11298.5625
7493.0,13698.638
2640.0,16019.706
506023.0,11283.889
325564.0,400015.34
192385.0,284058.38
119905.0,181917.61
57499.0,120250.16
46953.0,63679.746
37630.0,53801.168
36346.0,44991.35
30060.0,43772.375
25057.0,37784.953
23356.0,32996.176
17562.0,31363.275
16486.0,25783.227
15733.0,24743.887
12702.0,24015.969
10090.0,21081.182
10069.0,18545.965
7252.0,18525.57
1803.0,15784.992
116128.0,10465.137
865.0,116917.94
95054.0,9546.863
73607.0,98109.266
56466.0,78590.29
52077.0,62716.195
51236.0,58612.418
37274.0,57824.234
28059.0,44653.516
25072.0,35872.12
17079.0,33010.57
13384.0,25316.795
120005.0,21742.203
122356.0,120338.22
164055.0,122406.23
179533.0,158328.23
233305.0,171297.8
271351.0,214830.92
305102.0,244210.69
411234.0,269295.34
677346.0,342263.62
699220.0,487404.7
1563578.0,497050.3
2121053.0,655465.25
3294811.0,603230.44
116665.0,373161.84
358.0,117392.414
760.0,9050.238
949.0,9444.032
629.0,9629.13
3507414.0,9315.724
2227847.0,331516.97
28655.0,585961.0
888.0,36442.21
799.0,9569.392
727.0,9482.224
392.0,9411.714
434691.0,9083.546
317351.0,357198.1
263142.0,278173.0
250201.0,237970.72
193397.0,228023.08
162021.0,182748.08
131436.0,156609.25
118500.0,130350.336
115834.0,119012.0
106839.0,116658.06
69890.0,108672.73
56878.0,75168.695
52183.0,63100.61
51267.0,58711.7
44173.0,57853.293
27102.0,51181.74
25389.0,34956.113
19955.0,33314.605
12854.0,28091.244
989.0,21228.543
2872.0,9668.299
127497.0,11510.731
3195.0,126912.45
3001.0,11826.48
27779.0,11636.854
714383.0,35604.2
36708.0,503542.3
42397.0,44116.176
51433.0,49504.96
57146.0,58008.906
86412.0,63350.58
197043.0,90289.98
464734.0,185733.17
758856.0,375705.25
1615793.0,521678.47
317857.0,654157.7
18449.0,278537.16
4218.0,26639.281
5168.0,12825.934
21397.0,13753.291
6395.0,29479.729
7714.0,14949.937
5392.0,16234.905
13320.0,13971.842
13633.0,21680.182
14537.0,21983.453
15578.0,22858.846
10827.0,23866.07
3325.0,19261.88
1032.0,11953.54
1054.0,9710.406
1661.0,9731.949
2023.0,10326.158
2904.0,10680.385
4438.0,11542.016
16710.0,13040.752
6642.0,24960.33
751.0,15190.678
56877.0,9435.219
52414.0,63099.67
40012.0,58928.07
38497.0,47249.098
27805.0,45813.664
26198.0,35629.086
20439.0,34090.15
17238.0,28557.467
3358925.0,25470.367
2105210.0,360395.22
1562609.0,605646.7
16857.0,655480.8
14520.0,25102.361
12936.0,22842.395
7181.0,21308.023
6686.0,15715.836
5988.0,15233.556
732.0,14553.146
110607.0,9416.606
373.0,112025.914
12512.0,9064.93
18685.0,20896.959
23736.0,26866.93
26648.0,31728.273
41301.0,34521.3
48582.0,48468.887
51169.0,55333.098
52588.0,57761.402
69795.0,59091.016
106034.0,75081.11
458102.0,107954.81
321412.0,371679.4
208068.0,281089.8
114407.0,194693.55
115776.0,115395.72
123837.0,116606.81
156388.0,123706.58
190113.0,151830.89
233506.0,180050.05
258932.0,214989.2
320749.0,234749.4
396260.0,280614.53
678388.0,332506.28
695978.0,487871.66
82943.0,495641.66
5069.0,87133.836
13384.0,13656.684
17034.0,21742.203
6154.0,25273.338
190564.0,14714.999
49816.0,180421.1
54655.0,56492.098
260916.0,61024.812
95048.0,236269.27
72145.0,98103.85
152112.0,77245.85
3989.0,148186.17
2861.0,12602.28
2586.0,11499.978
2187.0,11231.084
48610.0,10840.83
1216.0,55359.414
956.0,9890.563
873.0,9635.985
3311139.0,9554.7
2069084.0,369895.12
1633456.0,611002.06
688525.0,653512.0
637436.0,492375.78
391814.0,468941.44
369.0,329575.4
377863.0,9061.018
996.0,320278.34
40322.0,9675.158
110464.0,47542.57
23781.0,111898.89
7208.0,31771.498
7224.0,15742.131
12821.0,15757.72
14044.0,21196.549
14482.0,22381.525
15342.0,22805.613
18437.0,23637.812
20001.0,26627.695
21610.0,28135.557
29292.0,29684.684
35871.0,37051.19
41509.0,43321.082
46402.0,48665.59
55889.0,53282.496
70026.0,62177.594
204787.0,75294.09
222620.0,192037.31
112103.0,206368.36
119173.0,113353.97
304655.0,119605.29
122401.0,268969.1
4186.0,122445.734
429564.0,12794.685
27453.0,353970.34
2106685.0,35292.17
16622.0,605423.4
721205.0,24875.309
416130.0,506411.62
337804.0,345416.12
291831.0,292729.62
254773.0,259541.25
733809.0,231553.05
